study,variable,role,source,reason,timing,method_basis,selection
recovery,wmh_ml,exposure_or_imaging,derived_or_imaging,背景白质损伤表型,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,gm119_ml,exposure_or_imaging,derived_or_imaging,背景灰质结构指标，单次测量不代表萎缩速率,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,age,prespecified_background,AGE,年龄可同时影响脑结构、血管代谢状态与预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,sex,prespecified_background,GENDER,性别与头颅体积、代谢和卒中背景有关,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,smoking,prespecified_background,H_SMK,既往吸烟可影响血管损伤、脂质功能和预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,drinking,prespecified_background,H_DRINK,饮酒史可共同影响代谢和血压背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,hypertension,prespecified_background,H_HYPT,既往血压损伤同时影响脑与肾表型及预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,diabetes,prespecified_background,H_DIAB,糖尿病是系统性微血管及代谢背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,prior_stroke,prespecified_background,H_STROKE,既往卒中反映基线脑损伤与后续事件易感性,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,education,prespecified_background,EDUC,教育与脑储备及健康行为背景有关,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,pre_mrs,conditional_prognosis,H_MRS,控制卒中前功能状态,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,nihss,conditional_prognosis,A_NIHSS,给定入院卒中严重程度,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,toast,conditional_prognosis,IMG_C_TOAST,给定卒中病因构成,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,lesion_ml,conditional_prognosis,derived_or_imaging,条件化本次卒中损伤量，不估计背景表型的总因果效应,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,mrs3,conditional_prognosis,F3_MRS,给定恢复期功能状态，是条件预后问题而非总效应混杂因素,month3,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
recovery,icv_ml,measurement,derived_or_imaging,独立控制头颅大小,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,sbp3,exposure_or_imaging,derived_or_imaging,恢复期实测血压；研究02为暴露，06为条件调整,month3,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,wmh_ml,exposure_or_imaging,derived_or_imaging,背景白质损伤表型,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,age,prespecified_background,AGE,年龄可同时影响脑结构、血管代谢状态与预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,sex,prespecified_background,GENDER,性别与头颅体积、代谢和卒中背景有关,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,smoking,prespecified_background,H_SMK,既往吸烟可影响血管损伤、脂质功能和预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,drinking,prespecified_background,H_DRINK,饮酒史可共同影响代谢和血压背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,hypertension,prespecified_background,H_HYPT,既往血压损伤同时影响脑与肾表型及预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,diabetes,prespecified_background,H_DIAB,糖尿病是系统性微血管及代谢背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,prior_stroke,prespecified_background,H_STROKE,既往卒中反映基线脑损伤与后续事件易感性,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,bmi,prespecified_background,BMI,体型与脂质、血压和肾脏指标相关,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,cysc,prespecified_background,BSL_CYSC,基线滤过功能影响血液标志物及血管结局,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,sbp0,prespecified_background,A_SBP,控制发病入院时血压背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,chd,prespecified_background,H_CHD;H_HD;H_CHD_TP,既往冠心病可关联血压处置及血管结局,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,toast,conditional_prognosis,IMG_C_TOAST,给定卒中病因构成,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,icas,prespecified_background,IMG_ICAS,颅内狭窄关联灌注状态和复发风险,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,prior_bp_med,prespecified_background,MH_HYPT,卒中前降压使用属于访视血压前的管理背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,discharge_bp_med,prespecified_background,DM_HYPT,出院降压使用先于恢复期血压测量,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,mrs3,conditional_prognosis,F3_MRS,给定恢复期功能状态，是条件预后问题而非总效应混杂因素,month3,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
bp,icv_ml,measurement,derived_or_imaging,独立控制头颅大小,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,cec,exposure_or_imaging,CEC,基线HDL胆固醇外排能力,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,age,prespecified_background,AGE,年龄可同时影响脑结构、血管代谢状态与预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,sex,prespecified_background,GENDER,性别与头颅体积、代谢和卒中背景有关,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,smoking,prespecified_background,H_SMK,既往吸烟可影响血管损伤、脂质功能和预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,drinking,prespecified_background,H_DRINK,饮酒史可共同影响代谢和血压背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,hypertension,prespecified_background,H_HYPT,既往血压损伤同时影响脑与肾表型及预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,diabetes,prespecified_background,H_DIAB,糖尿病是系统性微血管及代谢背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,prior_stroke,prespecified_background,H_STROKE,既往卒中反映基线脑损伤与后续事件易感性,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,bmi,prespecified_background,BMI,体型与脂质、血压和肾脏指标相关,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,education,prespecified_background,EDUC,教育与脑储备及健康行为背景有关,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,cysc,prespecified_background,BSL_CYSC,基线滤过功能影响血液标志物及血管结局,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,ldl,prespecified_background,BSL_LDL,控制常规胆固醇负担的条件关联,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
